gemeente,jaar_vkl,incident_count,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Aantal incidenten per 1000 inwoners
Borger-Odoorn,2008,184,26201,7.022632723941834
Borger-Odoorn,2009,132,26151,5.047608122060343
Borger-Odoorn,2010,142,26072,5.446455968088371
Borger-Odoorn,2011,87,25941,3.353764311321846
Borger-Odoorn,2012,116,25859,4.485865656057852
Borger-Odoorn,2013,108,25662,4.208557400046762
Borger-Odoorn,2014,113,25627,4.40941194833574
Borger-Odoorn,2015,136,25502,5.33291506548506
Borger-Odoorn,2016,136,25371,5.360450908517599
Borger-Odoorn,2017,145,25355,5.718793137448235
Borne,2008,233,20764,11.221344634945098
Borne,2009,161,21106,7.628162607789255
Borne,2010,180,21330,8.438818565400844
Borne,2011,169,21557,7.839680846128868
Borne,2012,220,21586,10.191790975632353
Borne,2013,199,21770,9.141019751952228
Borne,2014,173,21884,7.905318954487297
Borne,2015,223,21992,10.14005092761004
Borne,2016,187,22343,8.369511703889362
Borne,2017,203,22795,8.905461724062295
Borsele,2008,89,22531,3.9501131774000267
Borsele,2009,71,22551,3.14841913884085
Borsele,2010,142,22618,6.278185515960739
Borsele,2011,138,22707,6.077421059585149
Borsele,2012,121,22676,5.336038101958017
Borsele,2013,107,22683,4.717189084336288
Borsele,2014,110,22579,4.871783515656141
Borsele,2015,110,22568,4.874158099964552
Borsele,2016,118,22612,5.2184680700513
Borsele,2017,114,22688,5.024682651622003
Boxmeer,2008,106,28635,3.7017635760433034
Boxmeer,2009,88,28609,3.0759551190184906
Boxmeer,2010,151,28575,5.284339457567804
Boxmeer,2011,174,28582,6.087747533412637
Boxmeer,2012,151,28397,5.317463112300595
Boxmeer,2013,171,28227,6.05802954617919
Boxmeer,2014,125,28147,4.440970618538388
Boxmeer,2015,145,28342,5.116082139580834
Boxmeer,2016,196,28465,6.885649042683998
Boxmeer,2017,199,28709,6.931624229335748
Boxtel,2008,73,30241,2.4139413379187196
Boxtel,2009,47,30281,1.5521283973448698
Boxtel,2010,168,30276,5.548949663099485
Boxtel,2011,164,30280,5.416116248348745
Boxtel,2012,161,30284,5.316338660678906
Boxtel,2013,172,30436,5.651202523327639
Boxtel,2014,149,30320,4.91424802110818
Boxtel,2015,152,30337,5.010383360253156
Boxtel,2016,193,30406,6.34743142800763
Boxtel,2017,171,30655,5.578209101288534
Breda,2008,1288,170960,7.533926064576509
Breda,2009,764,171916,4.444030805742339
Breda,2010,1212,173299,6.993692981494411
Breda,2011,970,174599,5.555587374498136
Breda,2012,1275,176401,7.227850182255202
Breda,2013,1473,178140,8.268777366116538
Breda,2014,1579,179623,8.790633716172206
Breda,2015,1818,180937,10.047696159436711
Breda,2016,2017,181611,11.106155464151401
Breda,2017,1749,182304,9.593865192206424
Brielle,2008,60,15762,3.806623524933384
Brielle,2009,47,15597,3.0134000128229785
Brielle,2010,79,15759,5.013008439621804
Brielle,2011,68,15978,4.255851796219803
Brielle,2012,79,16072,4.915380786460926
Brielle,2013,77,16320,4.7181372549019605
Brielle,2014,84,16312,5.149583128984796
Brielle,2015,99,16467,6.012024048096192
Brielle,2016,105,16640,6.310096153846154
Brielle,2017,98,16833,5.821897463316105
Bronckhorst,2008,272,37833,7.189490656305343
Bronckhorst,2009,240,37897,6.332955115180622
Bronckhorst,2010,294,37751,7.787873168922678
Bronckhorst,2011,274,37677,7.2723412161265495
Bronckhorst,2012,208,37441,5.555407173953688
Bronckhorst,2013,236,37216,6.341358555460017
Bronckhorst,2014,231,36932,6.254738438210765
Bronckhorst,2015,286,36726,7.787398573217883
Bronckhorst,2016,280,36510,7.669131744727472
Bronckhorst,2017,241,36410,6.619060697610547
Brummen,2008,154,21200,7.264150943396226
Brummen,2009,129,21159,6.096696441230682
Brummen,2010,192,21139,9.082738067079806
Brummen,2011,138,21219,6.503605259437297
Brummen,2012,123,21327,5.7673371782247855
Brummen,2013,146,21245,6.872205224758766
Brummen,2014,98,21177,4.627662086225622
Brummen,2015,112,20983,5.337654291569366
Brummen,2016,94,20938,4.489445028178432
Brummen,2017,92,20843,4.413951926306194
Brunssum,2008,167,29742,5.614955282092664
