code,name,regioFacet,level,url
1721,Bernheze,tcm:106-353567-1024,4,/regioinformatie/gemeente/bernheze/
0753,Best,tcm:106-353568-1024,4,/regioinformatie/gemeente/best/
1728,Bladel,tcm:106-353569-1024,4,/regioinformatie/gemeente/bladel/
0755,Boekel,tcm:106-353570-1024,4,/regioinformatie/gemeente/boekel/
0756,Boxmeer,tcm:106-353571-1024,4,/regioinformatie/gemeente/boxmeer/
0757,Boxtel,tcm:106-353572-1024,4,/regioinformatie/gemeente/boxtel/
0758,Breda,tcm:106-353573-1024,4,/regioinformatie/gemeente/breda/
1706,Cranendonck,tcm:106-353574-1024,4,/regioinformatie/gemeente/cranendonck/
1684,Cuijk,tcm:106-353575-1024,4,/regioinformatie/gemeente/cuijk/
0762,Deurne,tcm:106-353576-1024,4,/regioinformatie/gemeente/deurne/
0766,Dongen,tcm:106-353577-1024,4,/regioinformatie/gemeente/dongen/
1719,Drimmelen,tcm:106-353578-1024,4,/regioinformatie/gemeente/drimmelen/
0770,Eersel,tcm:106-353579-1024,4,/regioinformatie/gemeente/eersel/
0772,Eindhoven,tcm:106-353580-1024,4,/regioinformatie/gemeente/eindhoven/
0777,Etten-Leur,tcm:106-353581-1024,4,/regioinformatie/gemeente/etten-leur/
0779,Geertruidenberg,tcm:106-353582-1024,4,/regioinformatie/gemeente/geertruidenberg/
1771,Geldrop-Mierlo,tcm:106-353583-1024,4,/regioinformatie/gemeente/geldrop-mierlo/
1652,Gemert-Bakel,tcm:106-353584-1024,4,/regioinformatie/gemeente/gemert-bakel/
0784,Gilze en Rijen,tcm:106-353585-1024,4,/regioinformatie/gemeente/gilze-en-rijen/
0785,Goirle,tcm:106-353586-1024,4,/regioinformatie/gemeente/goirle/
0786,Grave,tcm:106-353587-1024,4,/regioinformatie/gemeente/grave/
0788,Haaren,tcm:106-353588-1024,4,/regioinformatie/gemeente/haaren/
1655,Halderberge,tcm:106-353589-1024,4,/regioinformatie/gemeente/halderberge/
1658,Heeze-Leende,tcm:106-353590-1024,4,/regioinformatie/gemeente/heeze-leende/
0794,Helmond,tcm:106-353591-1024,4,/regioinformatie/gemeente/helmond/
0797,Heusden,tcm:106-353593-1024,4,/regioinformatie/gemeente/heusden/
0798,Hilvarenbeek,tcm:106-353594-1024,4,/regioinformatie/gemeente/hilvarenbeek/
1659,Laarbeek,tcm:106-353595-1024,4,/regioinformatie/gemeente/laarbeek/
1685,Landerd,tcm:106-353596-1024,4,/regioinformatie/gemeente/landerd/
0809,Loon op Zand,tcm:106-353597-1024,4,/regioinformatie/gemeente/loon-op-zand/
1671,Maasdonk,tcm:106-353598-1024,4,
0815,Mill en Sint Hubert,tcm:106-353599-1024,4,/regioinformatie/gemeente/mill-en-st-hubert/
1709,Moerdijk,tcm:106-353600-1024,4,/regioinformatie/gemeente/moerdijk/
0820,"Nuenen, Gerwen en Nederwetten",tcm:106-353601-1024,4,/regioinformatie/gemeente/nuenen-ca/
0823,Oirschot,tcm:106-353602-1024,4,/regioinformatie/gemeente/oirschot/
0824,Oisterwijk,tcm:106-353603-1024,4,/regioinformatie/gemeente/oisterwijk/
0826,Oosterhout,tcm:106-353604-1024,4,/regioinformatie/gemeente/oosterhout/
0828,Oss,tcm:106-353605-1024,4,/regioinformatie/gemeente/oss/
1667,Reusel-De Mierden,tcm:106-353606-1024,4,/regioinformatie/gemeente/reusel-de-mierden/
1674,Roosendaal,tcm:106-353607-1024,4,/regioinformatie/gemeente/roosendaal/
0840,Rucphen,tcm:106-353608-1024,4,/regioinformatie/gemeente/rucphen/
0844,Schijndel,tcm:106-353609-1024,4,/regioinformatie/gemeente/schijndel/
0796,'s-Hertogenbosch,tcm:106-353592-1024,4,/regioinformatie/gemeente/s-hertogenbosch/
1702,Sint Anthonis,tcm:106-353610-1024,4,/regioinformatie/gemeente/sint-anthonis/
0845,Sint-Michielsgestel,tcm:106-353611-1024,4,/regioinformatie/gemeente/sint-michielsgestel/
0846,Sint-Oedenrode,tcm:106-353612-1024,4,/regioinformatie/gemeente/sint-oedenrode/
0847,Someren,tcm:106-353613-1024,4,/regioinformatie/gemeente/someren/
0848,Son en Breugel,tcm:106-353614-1024,4,/regioinformatie/gemeente/son-en-breugel/
0851,Steenbergen,tcm:106-353615-1024,4,/regioinformatie/gemeente/steenbergen/
0855,Tilburg,tcm:106-353616-1024,4,/regioinformatie/gemeente/tilburg/
0856,Uden,tcm:106-353617-1024,4,/regioinformatie/gemeente/uden/
0858,Valkenswaard,tcm:106-353618-1024,4,/regioinformatie/gemeente/valkenswaard/
0860,Veghel,tcm:106-353619-1024,4,/regioinformatie/gemeente/veghel/
